date,demand
2022-01-01,9539
2022-01-02,9645
2022-01-03,9696
2022-01-04,9755
2022-01-05,9322
2022-01-06,9472
2022-01-07,9569
2022-01-08,9657
2022-01-09,9257
2022-01-10,9614
2022-01-11,9990
2022-01-12,9848
2022-01-13,9453
2022-01-14,9642
2022-01-15,9582
2022-01-16,9974
2022-01-17,9868
2022-01-18,9835
2022-01-19,9742
2022-01-20,9639
2022-01-21,9836
2022-01-22,10166
2022-01-23,9655
2022-01-24,9605
2022-01-25,9855
2022-01-26,9615
2022-01-27,9439
2022-01-28,9171
2022-01-29,9631
2022-01-30,9909
2022-01-31,9668
2022-02-01,10090
2022-02-02,10326
2022-02-03,10217
2022-02-04,10128
2022-02-05,10282
2022-02-06,9814
2022-02-07,9594
2022-02-08,9926
2022-02-09,10182
2022-02-10,9460
2022-02-11,9642
2022-02-12,9983
2022-02-13,10249
2022-02-14,10028
2022-02-15,9619
2022-02-16,10382
2022-02-17,10460
2022-02-18,10068
2022-02-19,9944
2022-02-20,9853
2022-02-21,9941
2022-02-22,9978
2022-02-23,10013
2022-02-24,9838
2022-02-25,10253
2022-02-26,9896
2022-02-27,9918
2022-02-28,9899
2022-03-01,10583
2022-03-02,10404
2022-03-03,10734
2022-03-04,10859
2022-03-05,10726
2022-03-06,11042
2022-03-07,10661
2022-03-08,10799
2022-03-09,10856
2022-03-10,10771
2022-03-11,10532
2022-03-12,10911
2022-03-13,10126
2022-03-14,10768
2022-03-15,10784
2022-03-16,11032
2022-03-17,10915
2022-03-18,10915
2022-03-19,10187
2022-03-20,10925
2022-03-21,10616
2022-03-22,11087
2022-03-23,10997
2022-03-24,10897
2022-03-25,10693
2022-03-26,10362
2022-03-27,10487
2022-03-28,10662
2022-03-29,10820
2022-03-30,10600
2022-03-31,10666
2022-04-01,11024
2022-04-02,11248
2022-04-03,10937
2022-04-04,11230
2022-04-05,11021
2022-04-06,10988
2022-04-07,10641
2022-04-08,11323
2022-04-09,11043
2022-04-10,11131
2022-04-11,10830
2022-04-12,11303
2022-04-13,11336
2022-04-14,10908
2022-04-15,11131
2022-04-16,11452
2022-04-17,11126
2022-04-18,11117
2022-04-19,11136
2022-04-20,10899
2022-04-21,10939
2022-04-22,10732
2022-04-23,10669
2022-04-24,11320
2022-04-25,10381
2022-04-26,10864
2022-04-27,11160
2022-04-28,10994
2022-04-29,10892
2022-04-30,10785
2022-05-01,11632
2022-05-02,11203
2022-05-03,11662
2022-05-04,11350
2022-05-05,10994
2022-05-06,11105
2022-05-07,11384
2022-05-08,11458
2022-05-09,11389
2022-05-10,11336
2022-05-11,11157
2022-05-12,11337
2022-05-13,11579
2022-05-14,11132
2022-05-15,10864
2022-05-16,11745
2022-05-17,11554
2022-05-18,11051
2022-05-19,11402
2022-05-20,11385
2022-05-21,11384
2022-05-22,11200
2022-05-23,11585
2022-05-24,11345
2022-05-25,11662
2022-05-26,11343
2022-05-27,11271
2022-05-28,11168
2022-05-29,11450
2022-05-30,11164
2022-05-31,11161
2022-06-01,11848
2022-06-02,11784
2022-06-03,11780
2022-06-04,11767
2022-06-05,11402
2022-06-06,11722
2022-06-07,11951
2022-06-08,12144
2022-06-09,11807
2022-06-10,11967
2022-06-11,12247
2022-06-12,11872
2022-06-13,11719
2022-06-14,11912
2022-06-15,11684
2022-06-16,11816
2022-06-17,11642
2022-06-18,11780
2022-06-19,11824
2022-06-20,11937
2022-06-21,11911
2022-06-22,11607
2022-06-23,11655
2022-06-24,11453
2022-06-25,11658
2022-06-26,11690
2022-06-27,11760
2022-06-28,11555
2022-06-29,11482
2022-06-30,11546
2022-07-01,10822
2022-07-02,11085
2022-07-03,10703
2022-07-04,10534
2022-07-05,10753
2022-07-06,10728
2022-07-07,10877
2022-07-08,10537
2022-07-09,10730
2022-07-10,10742
2022-07-11,11134
2022-07-12,10650
2022-07-13,10743
2022-07-14,10649
2022-07-15,10565
2022-07-16,10722
2022-07-17,11039
2022-07-18,10785
2022-07-19,10937
2022-07-20,11074
2022-07-21,10750
2022-07-22,10525
2022-07-23,11055
2022-07-24,10480
2022-07-25,10973
2022-07-26,10379
2022-07-27,10839
2022-07-28,10869
2022-07-29,10490
2022-07-30,10609
2022-07-31,10564
2022-08-01,12478
2022-08-02,12065
2022-08-03,11945
2022-08-04,11890
2022-08-05,11738
2022-08-06,11645
2022-08-07,11975
2022-08-08,11461
2022-08-09,11409
2022-08-10,12029
2022-08-11,11687
2022-08-12,11671
2022-08-13,11626
2022-08-14,12060
2022-08-15,11424
2022-08-16,11834
2022-08-17,11678
2022-08-18,12100
2022-08-19,12384
2022-08-20,12253
2022-08-21,12002
2022-08-22,11928
2022-08-23,11857
2022-08-24,11701
2022-08-25,11808
2022-08-26,12015
2022-08-27,11731
2022-08-28,11670
2022-08-29,12208
2022-08-30,11754
2022-08-31,11947
2022-09-01,12442
2022-09-02,12379
2022-09-03,12141
2022-09-04,12077
2022-09-05,12467
2022-09-06,12407
2022-09-07,12156
2022-09-08,12507
2022-09-09,12266
2022-09-10,12077
2022-09-11,12295
2022-09-12,12411
2022-09-13,12184
2022-09-14,12315
2022-09-15,12125
2022-09-16,12281
2022-09-17,12392
2022-09-18,12127
2022-09-19,12168
2022-09-20,12490
2022-09-21,12123
2022-09-22,12013
2022-09-23,12086
2022-09-24,12071
2022-09-25,12210
2022-09-26,12430
2022-09-27,12438
2022-09-28,12221
2022-09-29,12398
2022-09-30,12151
2022-10-01,12051
2022-10-02,11564
2022-10-03,12054
2022-10-04,12034
2022-10-05,12060
2022-10-06,11896
2022-10-07,11546
2022-10-08,12221
2022-10-09,12158
2022-10-10,11995
2022-10-11,11341
2022-10-12,11997
2022-10-13,11758
2022-10-14,12301
2022-10-15,12025
2022-10-16,12221
2022-10-17,11994
2022-10-18,11776
2022-10-19,12071
2022-10-20,11859
2022-10-21,12040
2022-10-22,12226
2022-10-23,11823
2022-10-24,11923
2022-10-25,12080
2022-10-26,12083
2022-10-27,11824
2022-10-28,11650
2022-10-29,12227
2022-10-30,11707
2022-10-31,12008
2022-11-01,14552
2022-11-02,14610
2022-11-03,14085
2022-11-04,14476
2022-11-05,14579
2022-11-06,14255
2022-11-07,14799
2022-11-08,14503
2022-11-09,14547
2022-11-10,14332
2022-11-11,15040
2022-11-12,14225
2022-11-13,14607
2022-11-14,14317
2022-11-15,14143
2022-11-16,14426
2022-11-17,14317
2022-11-18,14293
2022-11-19,14225
2022-11-20,14447
2022-11-21,14635
2022-11-22,14826
2022-11-23,14630
2022-11-24,14993
2022-11-25,15036
2022-11-26,14643
2022-11-27,14614
2022-11-28,14377
2022-11-29,14816
2022-11-30,14327
2022-12-01,15724
2022-12-02,15745
2022-12-03,15926
2022-12-04,15512
2022-12-05,15760
2022-12-06,15627
2022-12-07,15639
2022-12-08,16006
2022-12-09,15732
2022-12-10,15462
2022-12-11,15553
2022-12-12,15994
2022-12-13,15762
2022-12-14,15656
2022-12-15,15756
2022-12-16,15420
2022-12-17,15821
2022-12-18,15463
2022-12-19,15897
2022-12-20,15908
2022-12-21,15761
2022-12-22,16020
2022-12-23,16323
2022-12-24,15831
2022-12-25,15343
2022-12-26,15791
2022-12-27,15433
