year,month_num,month,demand
2022,1,Jan,299649
2022,2,Feb,279983
2022,3,Mar,332417
2022,4,Apr,330560
2022,5,May,351452
2022,6,Jun,352922
2022,7,Jul,333342
2022,8,Aug,367973
2022,9,Sep,367848
2022,10,Oct,370513
2022,11,Nov,435675
2022,12,Dec,488850
2023,1,Jan,317227
2023,2,Feb,297894
2023,3,Mar,352208
2023,4,Apr,351468
2023,5,May,373341
2023,6,Jun,371584
2023,7,Jul,349505
2023,8,Aug,393054
2023,9,Sep,391708
2023,10,Oct,391602
2023,11,Nov,465696
2023,12,Dec,518586
2024,1,Jan,334790
2024,2,Feb,316128
2024,3,Mar,370495
2024,4,Apr,373801
2024,5,May,391232
2024,6,Jun,394539
2024,7,Jul,373524
2024,8,Aug,411525
2024,9,Sep,413268
2024,10,Oct,412224
2024,11,Nov,490287
2024,12,Dec,548942
2025,1,Jan,350629
2025,2,Feb,330495
2025,3,Mar,392800
2025,4,Apr,394105
2025,5,May,412695
2025,6,Jun,413796
2025,7,Jul,393569
2025,8,Aug,432275
2025,9,Sep,435864
2025,10,Oct,428634
2025,11,Nov,487433
2025,12,Dec,562723
