sku_id,demand
SKU04321,1197375
SKU04596,284552
SKU03727,168010
SKU04154,131645
SKU00953,115784
SKU00190,102370
SKU02141,100450
SKU00994,96074
SKU03292,93267
SKU01775,80893
SKU04571,76342
SKU00942,72429
SKU02858,71530
SKU01371,70665
SKU01420,67929
SKU00079,67508
SKU01045,57373
SKU00285,54730
SKU02930,53627
SKU03088,52487
SKU00286,51931
SKU02954,51281
SKU04381,44355
SKU00845,43587
SKU04166,41696
SKU04329,41379
SKU02368,40046
SKU00002,38519
SKU01189,32639
SKU00264,32607
SKU04350,32276
SKU04508,31642
SKU03840,31014
SKU02892,29903
SKU04551,29853
SKU00376,29533
SKU00920,29510
SKU01037,29000
SKU04926,28212
SKU02747,28134
SKU00893,27780
SKU03907,27510
SKU04157,27457
SKU01274,27381
SKU04913,27365
SKU02692,26779
SKU00169,26625
SKU04191,26569
SKU02740,26433
SKU00062,26023
SKU03030,25747
SKU02538,25579
SKU01507,25308
SKU03800,24626
SKU02660,24350
SKU04032,24274
SKU00500,24224
SKU01677,24096
SKU00774,23362
SKU02648,23286
SKU04105,23051
SKU01414,22599
SKU02526,22580
SKU03702,22555
SKU01578,22545
SKU01030,21958
SKU03053,21925
SKU04453,21836
SKU01048,21704
SKU00692,21661
SKU00263,21418
SKU02840,21393
SKU04627,21350
SKU02247,21219
SKU04318,21041
SKU00484,20921
SKU01317,20509
SKU03546,20481
SKU01993,20268
SKU02449,20184
SKU01164,20113
SKU02340,20098
SKU01152,19573
SKU04245,19442
SKU01009,19364
SKU01784,18583
SKU02531,18193
SKU00020,18191
SKU00539,17992
SKU02176,17950
SKU03323,17818
SKU00929,17773
SKU00976,17474
SKU00628,17318
SKU02462,17273
SKU02543,17219
SKU04041,17217
SKU02355,17176
SKU00177,17170
SKU04016,17083
SKU01138,17049
SKU01363,16792
SKU02155,16723
SKU00974,16512
SKU03535,16405
SKU00369,16215
SKU02482,16003
SKU00996,15888
SKU00050,15874
SKU00363,15634
SKU03425,15588
SKU04562,15555
SKU03353,15530
SKU02640,15385
SKU02401,15225
SKU03063,15220
SKU00254,15212
SKU00728,15185
SKU03743,15165
SKU03578,15136
SKU03259,14844
SKU02776,14790
SKU04046,14589
SKU02950,14575
SKU04646,14556
SKU02737,14546
SKU04824,14507
SKU02484,14462
SKU00506,14423
SKU04362,14421
SKU03057,14297
SKU01751,14291
SKU02088,14209
SKU04847,14207
SKU04315,14201
SKU03274,14139
SKU00531,14089
SKU03476,14054
SKU01988,13980
SKU02614,13976
SKU02079,13885
SKU03633,13802
SKU04012,13782
SKU04626,13688
SKU02923,13639
SKU00538,13610
SKU02983,13548
SKU03876,13520
SKU00416,13514
SKU04489,13498
SKU04346,13421
SKU01662,13387
SKU01021,13312
SKU04305,13278
SKU02046,13220
SKU04280,13064
SKU04476,13001
SKU00328,12877
SKU04348,12876
SKU02657,12845
SKU00291,12790
SKU02898,12705
SKU02833,12696
SKU01438,12584
SKU03693,12444
SKU04140,12409
SKU02503,12403
SKU01170,12370
SKU02268,12275
SKU04783,12262
SKU01547,12233
SKU04710,12186
SKU02068,12120
SKU02683,12118
SKU01485,12083
SKU04126,12059
SKU03870,12048
SKU00445,12028
SKU04035,12025
SKU02381,12016
SKU02826,11986
SKU03812,11924
SKU00823,11923
SKU04663,11875
SKU03199,11856
SKU04273,11824
SKU01153,11819
SKU01466,11817
SKU02532,11742
SKU01685,11732
SKU00830,11630
SKU03622,11565
SKU01370,11528
SKU04574,11513
SKU04756,11511
SKU02333,11453
SKU03851,11436
SKU04633,11375
SKU03171,11348
SKU00832,11333
SKU02298,11323
SKU02583,11298
SKU00685,11291
SKU00243,11290
SKU04677,11288
SKU00166,11261
SKU01953,11256
SKU03891,11206
SKU02071,11192
SKU00945,11094
SKU04359,11079
SKU04538,11029
SKU01836,11013
SKU01027,10987
SKU03193,10961
SKU02415,10889
SKU00982,10837
SKU00388,10834
SKU02848,10703
SKU02314,10645
SKU00404,10463
SKU03571,10455
SKU04903,10346
SKU01343,10281
SKU03077,10251
SKU02738,10223
SKU01730,10152
SKU01714,10130
SKU04197,10114
SKU04390,9985
SKU00554,9975
SKU01435,9934
SKU02611,9907
SKU02434,9892
SKU00499,9888
SKU02821,9880
SKU03133,9879
SKU01293,9791
SKU04973,9752
SKU01469,9730
SKU01870,9706
SKU04088,9641
SKU01987,9617
