store_id,sku_id,stock_on_hand,reorder_point,safety_stock,last_restock_date,reorder_gap,safety_stock_gap,stock_to_reorder_ratio,risk_category,risk_score
ST11,SKU02558,323,72,22,2025-05-17,251,301,4.486111111111111,Low,10
ST21,SKU01031,236,67,14,2025-06-17,169,222,3.5223880597014925,Low,10
ST26,SKU02129,433,96,34,2025-05-20,337,399,4.510416666666667,Low,10
ST19,SKU02907,178,34,13,2025-08-03,144,165,5.235294117647059,Low,10
ST05,SKU01023,333,97,22,2025-07-12,236,311,3.4329896907216493,Low,10
ST08,SKU04475,470,90,29,2025-06-09,380,441,5.222222222222222,Low,10
ST01,SKU01318,125,24,9,2025-07-25,101,116,5.208333333333333,Low,10
ST13,SKU00389,212,49,15,2025-08-16,163,197,4.326530612244898,Low,10
ST25,SKU01675,259,77,32,2025-06-11,182,227,3.3636363636363638,Low,10
ST06,SKU01396,204,57,12,2025-05-06,147,192,3.5789473684210527,Low,10
ST07,SKU04250,348,79,27,2025-05-10,269,321,4.405063291139241,Low,10
ST22,SKU03592,444,79,38,2025-09-01,365,406,5.620253164556962,Low,10
ST01,SKU00500,0,54,24,2025-08-25,-54,-24,0.0,Critical,100
ST20,SKU02728,245,41,18,2025-06-16,204,227,5.975609756097561,Low,10
ST08,SKU03428,72,21,5,2025-08-29,51,67,3.4285714285714284,Low,10
ST11,SKU04894,488,93,22,2025-05-26,395,466,5.247311827956989,Low,10
ST16,SKU01037,0,92,38,2025-09-03,-92,-38,0.0,Critical,100
ST21,SKU01152,0,76,32,2025-10-02,-76,-32,0.0,Critical,100
ST28,SKU02094,291,62,16,2025-06-01,229,275,4.693548387096774,Low,10
ST26,SKU04236,377,85,24,2025-06-16,292,353,4.435294117647059,Low,10
ST19,SKU01042,131,29,12,2025-05-06,102,119,4.517241379310345,Low,10
ST15,SKU01337,226,60,19,2025-08-15,166,207,3.7666666666666666,Low,10
ST08,SKU02381,0,36,15,2025-09-05,-36,-15,0.0,Critical,100
ST09,SKU01034,297,50,17,2025-07-31,247,280,5.94,Low,10
ST07,SKU00170,311,70,33,2025-08-12,241,278,4.442857142857143,Low,10
ST19,SKU01981,179,30,13,2025-05-19,149,166,5.966666666666667,Low,10
ST15,SKU04491,91,25,10,2025-08-24,66,81,3.64,Low,10
ST25,SKU00978,129,22,5,2025-05-31,107,124,5.863636363636363,Low,10
ST27,SKU03562,393,79,38,2025-06-09,314,355,4.974683544303797,Low,10
ST25,SKU00749,115,27,10,2025-06-11,88,105,4.2592592592592595,Low,10
ST14,SKU00331,317,59,15,2025-08-15,258,302,5.372881355932203,Low,10
ST24,SKU03493,308,58,22,2025-08-24,250,286,5.310344827586207,Low,10
ST22,SKU04652,80,21,9,2025-05-12,59,71,3.8095238095238093,Low,10
ST03,SKU02387,292,77,37,2025-08-09,215,255,3.792207792207792,Low,10
ST08,SKU04717,202,56,16,2025-05-29,146,186,3.607142857142857,Low,10
ST08,SKU00516,297,94,29,2025-08-20,203,268,3.1595744680851063,Low,10
ST01,SKU03546,0,42,18,2025-09-25,-42,-18,0.0,Critical,100
ST13,SKU00631,528,100,48,2025-06-21,428,480,5.28,Low,10
ST12,SKU03375,379,92,45,2025-05-31,287,334,4.119565217391305,Low,10
ST24,SKU02217,324,59,21,2025-07-20,265,303,5.491525423728813,Low,10
ST08,SKU01684,154,40,11,2025-08-06,114,143,3.85,Low,10
ST01,SKU02728,173,40,10,2025-05-20,133,163,4.325,Low,10
ST04,SKU04194,446,92,19,2025-08-07,354,427,4.8478260869565215,Low,10
ST11,SKU00935,176,58,27,2025-06-07,118,149,3.0344827586206895,Low,10
ST28,SKU04551,0,80,39,2025-09-05,-80,-39,0.0,Critical,100
ST21,SKU03609,508,97,41,2025-06-03,411,467,5.237113402061856,Low,10
ST23,SKU02221,152,35,15,2025-06-22,117,137,4.3428571428571425,Low,10
ST09,SKU02094,239,65,25,2025-07-22,174,214,3.6769230769230767,Low,10
ST28,SKU00350,150,31,14,2025-07-22,119,136,4.838709677419355,Low,10
ST03,SKU02279,435,78,24,2025-07-14,357,411,5.576923076923077,Low,10
ST18,SKU03311,475,80,28,2025-08-15,395,447,5.9375,Low,10
ST25,SKU02038,69,22,5,2025-05-26,47,64,3.1363636363636362,Low,10
ST30,SKU00167,221,56,24,2025-06-27,165,197,3.9464285714285716,Low,10
ST09,SKU03491,89,22,10,2025-06-01,67,79,4.045454545454546,Low,10
ST23,SKU01174,459,83,19,2025-07-08,376,440,5.530120481927711,Low,10
ST28,SKU03504,457,89,24,2025-08-18,368,433,5.134831460674158,Low,10
ST11,SKU01874,488,85,36,2025-07-20,403,452,5.741176470588235,Low,10
ST24,SKU02567,361,65,16,2025-08-25,296,345,5.553846153846154,Low,10
ST15,SKU02747,0,100,30,2025-08-25,-100,-30,0.0,Critical,100
ST15,SKU00532,175,33,7,2025-07-14,142,168,5.303030303030303,Low,10
ST27,SKU01818,152,41,13,2025-07-24,111,139,3.707317073170732,Low,10
ST25,SKU00991,189,46,23,2025-08-16,143,166,4.108695652173913,Low,10
ST06,SKU04913,0,26,9,2025-09-09,-26,-9,0.0,Critical,100
ST04,SKU04315,0,76,24,2025-10-08,-76,-24,0.0,Critical,100
ST28,SKU04443,102,22,11,2025-07-06,80,91,4.636363636363637,Low,10
ST26,SKU00169,0,23,9,2025-09-12,-23,-9,0.0,Critical,100
ST12,SKU02449,0,79,18,2025-09-26,-79,-18,0.0,Critical,100
ST10,SKU03837,239,50,24,2025-08-29,189,215,4.78,Low,10
ST05,SKU03493,319,68,27,2025-05-31,251,292,4.6911764705882355,Low,10
ST22,SKU04894,113,33,13,2025-08-26,80,100,3.4242424242424243,Low,10
ST13,SKU03088,0,97,40,2025-08-14,-97,-40,0.0,Critical,100
ST30,SKU02503,0,21,6,2025-10-10,-21,-6,0.0,Critical,100
ST30,SKU04489,0,74,37,2025-09-17,-74,-37,0.0,Critical,100
ST25,SKU04145,179,48,21,2025-05-12,131,158,3.7291666666666665,Low,10
ST16,SKU04554,165,51,13,2025-05-25,114,152,3.235294117647059,Low,10
